,Layer,No. of nodes,avg_closeness,graph_avg_distance,graph diameter,clustering coefficient
0,Delta,213,0.4564495677551313,2.21892993179201,3,0.6176137315448601
1,Allegiant,113,0.4278577565452436,2.3762642225031607,5,0.14908145554167213
