Spirit airline
time taken: 0.0009975433349609375

90	0.32928256837557096
145	0.2749619533426028
200	0.2606057999017087
21	0.25419772134173596
70	0.2528534237047512
51	0.23923533739698433
16	0.23734142883070025
65	0.227426780235452
156	0.2215454885959249
188	0.2210482041155548
264	0.2130145275036157
173	0.2092036198546043
116	0.20612198116010025
32	0.16499843814346601
55	0.1485563570808591
182	0.1459164468393264
210	0.127707773329969
91	0.12632566313719884
68	0.12432587746559637
208	0.12046757484906874
234	0.11049984570945232
190	0.10207225710924153
134	0.09506695658643002
209	0.0892999854111522
60	0.08547949481972253
189	0.08480735035156575
17	0.07875283432942026
237	0.07786668826217921
111	0.07631911001878332
146	0.07631911001878332
4	0.0659612669520209
247	0.06273978110989653
194	0.05319366882778678
281	0.034285315005514815
3	0.023374193938210632
229	0.023374193938210632
213	0.01951822786770172
