,Layer,No. of nodes,avg_eigen,assortivity_coefficient,number of hubs,clustering coefficient
0,Allegiant,113,0.07386628773204046,-0.625684323034236,40,0.14908145554167213
1,Delta,213,0.045536641701295025,-0.6648689066066893,71,0.6176137315448601
