,Layer,No. of nodes,avg_degree,density,assortivity_coefficient,graph diameter,clustering coefficient
0,Allegiant,113,0.05989254108723141,0.059892541087231355,-0.625684323034236,5,0.14908145554167213
1,Delta,213,0.030206395606342376,0.030206395606342456,-0.6648689066066893,3,0.6176137315448601
